Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499993626152182,0.0,12404.149458369542
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.6883993524000692,0.0,7006.371865490727
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.7089458996094891,0.0,4847.907306593623
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.03525129061896878,0.0,168.1779419400722
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,9.018144920727409e-08,0.0,0.00029830003333304036
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,3.142398261924717e-07,0.0,0.00025985873883090804
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.29901805000705506,0.0,32367.90254488966
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5370836098107755,0.0,35777.145463349174
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.6342732093332369,0.0,28387.597379800474
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.0467349457724949,0.0,1459.3074894859342
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,1.2925267139668382e-08,0.0,0.00027982510563063405
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,6.251492293889639e-08,0.0,0.0003383536434071032
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499997777251068,0.0,47632.485883321606
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7215690777100556,0.0,28201.139769455793
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6699075608475049,0.0,17591.06399178151
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.010952935854784651,0.0,200.65989119347293
