Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7497488923643228,0.0,12400.006960946483
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.6846018784745702,0.0,6967.722040532629
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6499811128789668,0.0,4444.694846263295
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0037533775641071278,0.0,17.906729171382754
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.0009094941718489732,0.0,3.0084029937819077
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,0.0007421700585824203,0.0,0.6137330769243817
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.25536072364443285,0.0,27642.11396777053
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5262212027746529,0.0,35053.559955404715
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.557905940103523,0.0,24969.695977080166
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.015170867659386657,0.0,473.7132017894074
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0009132479285160505,0.0,19.771328151482805
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.009113779796766993,0.0,49.32711190350864
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999466139953,0.0,47632.49660945503
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.733377752061576,0.0,28662.659097495798
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6306615797077331,0.0,16560.506037223495
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.010060719120809532,0.0,184.31430904690768
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.00014084684189594976,0.0,1.7890365857623534
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,0.002054836362407726,0.0,6.5251328688257475
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7384389622711746,0.0,123591.46576322104
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7325817021770393,0.0,75453.01204659686
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6517490156981081,0.0,45101.33319489252
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.022843931691711707,0.0,1102.8911399942747
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,6.497539769592021e-09,0.0,0.00021749677495587038
