BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2741.837623299485,82.25512869898482
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3842.9332237527547,115.28799671258267
Switzerland,Austria,2030-2035,319.8790071783601,1519.87900717836,76584175.18730898,5117.108840049352,153.51326520148092
Switzerland,Austria,2035-2040,680.1209838556144,2199.9999910271954,116972135.81688197,14018.878320081076,420.5663496024326
Switzerland,Austria,2040-2045,999.9999974860627,3199.9999885480247,119154998.95692953,19344.72380227373,580.3417140682121
Switzerland,Austria,2045-2050,1.429150870519117e-07,3199.9999884534614,0.011113012930626713,19101.30087798801,573.039026339643
Switzerland,Austria,2050-2055,9.52520050702879e-08,3199.9999886188252,0.004317309822052834,16773.390694558217,503.201720836747
Switzerland,Austria,2055-2060,1.821803173970417e-07,3199.9999889064375,0.003627559655806237,16998.11261743537,509.9433785230631
CzechR,Austria,2020-2025,0.0,900.0,0.0,5087.06321225857,152.6118963677572
CzechR,Austria,2025-2030,0.0,900.0,0.0,1513.686029878889,45.41058089636654
CzechR,Austria,2030-2035,999.9999886502733,1899.9999886502733,87917390.01102684,7986.853375017694,239.6056012505308
CzechR,Austria,2035-2040,4.042755527007163e-06,1899.9999926862374,0.2553261030099496,9904.377365044082,297.1313209513227
CzechR,Austria,2040-2045,4.960565219484792e-07,1899.9999931755024,0.021705256576591753,10931.09111439224,327.93273343176776
CzechR,Austria,2045-2050,1.8785148168365133e-07,1899.999993356562,0.005364013450269464,11803.486729893591,354.1046018968092
CzechR,Austria,2050-2055,1.024135698807311e-07,1899.9999934521904,0.0017045827380053012,12094.304637573978,362.82913912722074
CzechR,Austria,2055-2060,1.1645670146619498e-07,1899.9999935618498,0.0008515282990051202,11042.69383022847,331.280814906854
Germany,Austria,2020-2025,0.0,5000.0,0.0,19721.536753400946,591.6461026020309
Germany,Austria,2025-2030,1999.9999265537163,6999.999926553716,891259.9219010698,19686.257622487392,590.587728674621
Germany,Austria,2030-2035,500.0000521990091,7499.999977892771,149745.3461335822,30210.448047166563,906.3134414149972
Germany,Austria,2035-2040,1.729391348287768e-05,7499.999996033604,0.003720655943848148,34547.58910289909,1036.4276730869733
Germany,Austria,2040-2045,699.9999941806899,8199.999990107393,104337.4669870318,43411.04469347641,1302.3313408042916
Germany,Austria,2045-2050,1.2970868997228677e-06,8199.999991564202,0.00012616904011314726,48071.71655491841,1442.1514966475559
Germany,Austria,2050-2055,1.024412750628445e-07,8199.999991627461,5.808233258933049e-06,42732.158090796365,1281.964742723888
Germany,Austria,2055-2060,1.6664479735301549e-07,8199.999991753732,4.1508291002944035e-06,43202.14697702229,1296.064409310671
Hungary,Austria,2020-2025,0.0,800.0,0.0,3191.5487509920185,95.74646252976045
Hungary,Austria,2025-2030,0.0,800.0,0.0,3652.182185419349,109.56546556258074
Hungary,Austria,2030-2035,1999.9999909068888,2799.999990906889,149305058.52441388,14204.203271716067,426.12609815148187
Hungary,Austria,2035-2040,2.531452686388195e-06,2799.99999343155,0.13575545466226752,15253.846002291377,457.61538006874184
Hungary,Austria,2040-2045,2.2553187562999426e-07,2799.9999936502904,0.008379371174226647,16653.219577899297,499.5965873369811
