Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.743081450312505,0.0,12289.734936944464
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7498323066634542,0.0,7631.622486172357
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.7422892072305324,0.0,5075.915204983455
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.6990049368167552,0.0,3334.8342604095833
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.7426567493100882,0.0,2456.542171605928
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,0.6934746047499744,0.0,573.4646635503634
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.3153608543299703,0.0,34136.96731412976
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.7403479149890532,0.0,49317.340101632675
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.7258029354172981,0.0,32484.111270224814
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.6780396341342577,0.0,21171.9153602348
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.7201524171650537,0.0,15590.913829927826
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.6680332936997069,0.0,3615.6406856883054
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999331350599,0.0,47632.495753407646
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7433531191382354,0.0,29052.52713628887
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.7174008758172324,0.0,18838.188209572672
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.6730229970145322,0.0,12329.910732805665
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.7499998467904928,0.0,9526.498053932799
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,0.675185995391644,0.0,2144.053128366166
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7448579996398365,0.0,124665.8108041991
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.707076058387856,0.0,72826.03181713918
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6861916606913239,0.0,47484.78015152265
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.6784333715590812,0.0,32754.350900131314
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.7004481784741862,0.0,23446.60059716957
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,0.7499997920156789,0.0,6276.3192594982
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7467253448188295,0.0,13089.169355246526
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.7435085389273048,0.0,8020.173991881457
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.7207425032559256,0.0,5223.558284028944
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.6539069907465407,0.0,3306.3977028225945
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.6481520787507373,0.0,2272.260446384562
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.6652893955300268,0.0,583.0849072395457
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499995671192429,0.0,6615.9861814203205
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.7466357280408585,0.0,4053.1154956808664
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.7274256253380122,0.0,2653.122416771042
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.6882833269531624,0.0,1751.4136954957144
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,0.7435539519396475,0.0,1311.8254694648506
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,0.7110690555728566,0.0,313.6283840652978
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
