Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499963471656308,0.0,12404.09958621074
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7088258273224234,0.0,7214.267876299242
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.5912599860078805,0.0,4043.1485785345935
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.015514459812761552,0.0,74.01686224271727
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.872855591224864e-08,0.0,0.00019426090776119434
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,0.0004301635383700104,0.0,0.3557211570738502
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.23495433793831022,0.0,25433.177404196467
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5474896417145553,0.0,36470.330118991245
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5356673045942368,0.0,23974.38130538305
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.04038504342895735,0.0,1261.030592096607
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,8.471905670366661e-09,0.0,0.0001834122168219984
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.00043001455581235685,0.0,2.3273961613839047
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499980286452227,0.0,47632.374799258236
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7347761552041184,0.0,28717.312995085278
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6016670889761817,0.0,15799.141377862748
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.0031553549914809017,0.0,57.806710242966915
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0004261926127914939,0.0,5.413498567677547
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,0.0005156531224767004,0.0,1.6374564904247633
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7433757493228871,0.0,124417.72870309191
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7498795798176453,0.0,77234.6248907596
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6479135846907988,0.0,44835.91959603747
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.03393072874795404,0.0,1638.1549645083699
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.0004261865901046101,0.0,14.266047175423767
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,0.00040146710271791064,0.0,3.359648543463443
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7255844648351323,0.0,12718.595943823486
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6559800085911935,0.0,7076.009929472622
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.4515398781941953,0.0,3272.5208526701667
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.06811957999212204,0.0,344.4380102834741
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.0026146175342593257,0.0,9.166200649964676
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0004301938781532699,0.0,0.37703826218089587
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.749993726290502,0.0,6615.934657600927
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6871747440014456,0.0,3730.331269387596
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.599603134307833,0.0,2186.918444148962
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.019386819612110775,0.0,49.33192487904953
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,1.0770142729380548e-07,0.0,0.00019001375092307833
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,0.0005159763669640098,0.0,0.2275796322713481
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.666232805225128,0.0,1330.6534572200367
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.6335816867552599,0.0,778.7323269677204
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.43763643532151913,0.0,361.3994950016871
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.013839083160274745,0.0,7.973228081063498
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,4.4682446297427446e-07,0.0,0.00017848671268185163
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,0.0006866399259977578,0.0,0.06857060956984015
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7394685579943785,0.0,5337.661524057361
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7137853062102774,0.0,3170.6299376610978
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.5848374554127793,0.0,1745.4266914310194
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.03916681611690811,0.0,81.55254195222417
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,1.373841355878485e-07,0.0,0.00019833433257312552
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,0.00043040361147946227,0.0,0.1553378282262759
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999875141918,0.0,49669.19917311989
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7252791602075066,0.0,29558.18310906958
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.5911855294567465,0.0,16187.68754983076
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.02283102999089572,0.0,436.153459547615
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.00042619299737525973,0.0,5.644977393394997
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,4.466307976831926e-08,0.0,0.00014789196277524032
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999345578069,0.0,16405.288568535812
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.7061354158563411,0.0,9505.112842169341
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.5667519059070839,0.0,5125.671321816819
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.03900423225687393,0.0,246.10605438514295
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,3.9911464202840503e-08,0.0,0.00017460243855259137
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.0004301263924963519,0.0,0.4704232137037655
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7466886797194451,0.0,37028.560435212
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7287375307502713,0.0,22238.988612564284
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.5902257796944917,0.0,12101.81617829052
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.022495518313606654,0.0,321.7963994879851
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,1.9672165471483138e-08,0.0,0.00019510995354208338
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,0.0004300453902917566,0.0,1.0663052860454363
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7497252924123822,0.0,6147.267573594404
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7154677515868488,0.0,3610.0785622468557
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.61470791259072,0.0,2083.933588632058
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.006224348651950448,0.0,14.721829431593223
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,1.1525167791554322e-07,0.0,0.0001889979995667177
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,0.0005159742925142313,0.0,0.2115329487534745
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.0335907010264599,0.0335907010264599,0.7970100069409556,80132.42521162226,0.23452381375827314
BosniaH,Lignite,2025-2030,1.257610298686918e-07,0.033590819256852054,0.7830898098998558,0.23506545440715926,0.2304285436121632
BosniaH,Lignite,2030-2035,6.900913404958543e-08,0.033590880735048415,0.6734564482474248,0.09644252802567353,0.19816867824395829
BosniaH,Lignite,2035-2040,9.06194664168189e-08,0.033590963823178804,0.05834933199219723,0.09315800775093466,0.01716969022849536
BosniaH,Lignite,2040-2045,1.762220724526955e-07,0.0335911325142813,0.0007073536431390591,0.1301373448036032,0.00020814469525961963
BosniaH,Lignite,2045-2050,5.216225843696838e-07,0.03359164660589529,0.0009956850295037272,0.26687878173405666,0.000292993088862778
BosniaH,Lignite,2050-2055,4.796008210126023e-07,0.03359211867574571,0.0004217694592417374,0.1601323403854144,0.00012411281642300503
BosniaH,Lignite,2055-2060,1.9647565380782337e-07,0.03359230762042947,0.0014984485260074484,0.03823782874845692,0.0004409463720298266
Bulgaria,Lignite,2020-2025,0.00024948978442798853,0.00024948978442798853,0.3962105405971304,595.1713087497453,0.0008659302254882698
Bulgaria,Lignite,2025-2030,3.136148245836721e-05,0.0002808437359159809,0.41110426135258366,58.61912177926193,0.0010113950558969405
Bulgaria,Lignite,2030-2035,0.00020601509885343166,0.00048685130379874344,0.5269156088187854,287.9128570227777,0.0022471988680331273
Bulgaria,Lignite,2035-2040,1.7299556750231776e-07,0.0004870167683968357,0.13691349718532048,0.17784172711998175,0.0005841095199941505
Bulgaria,Lignite,2040-2045,4.587928778939917e-07,0.0004874680303045173,0.039139945189174,0.33881162622210753,0.00016713617461131834
Bulgaria,Lignite,2045-2050,0.00025983791225731484,0.000747298411591079,0.023381964493893476,132.94137859339045,0.000153066151153211
Bulgaria,Lignite,2050-2055,4.863515566064804e-07,0.0007477772321774136,0.01747871301451324,0.16238632128496422,0.00011449480868654085
Bulgaria,Lignite,2055-2060,1.0333563813811767e-06,0.0007488030575890015,0.023349989396625928,0.20111043572873052,0.00015316460066461046
CzechR,Lignite,2020-2025,0.007778766425198079,0.007778766425198079,0.7854766235209979,18556.665974754615,0.05352394327657025
CzechR,Lignite,2025-2030,1.171650151995238e-06,0.007779930544379809,0.7792100125597932,2.1899826653180283,0.053104870048276416
CzechR,Lignite,2030-2035,4.3138144086483363e-07,0.007780354394850153,0.6848217735862763,0.602869710993165,0.046674647399304846
CzechR,Lignite,2035-2040,5.3602271140424e-07,0.0077808828865913015,0.0579469858029146,0.5510384234000008,0.003949697501031797
