Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999077084323,0.0,12404.158473600877
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7086446818020177,0.0,7212.424218438003
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6730505792557043,0.0,4602.448258291797
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0611102215044012,0.0,291.5465250677058
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.0009723326501909233,0.0,3.2162586043179293
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,5.224130589033542e-07,0.0,0.00043200634458177546
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.3399351324067097,0.0,36797.06705687161
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.45990628692982466,0.0,30636.07569926448
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.48837591704149846,0.0,21857.80307123304
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05247676561814542,0.0,1638.5968962785735
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0013496722894315554,0.0,29.219681641846034
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.00028720855740790266,0.0,1.5544778310235816
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999739764025,0.0,47632.49834724117
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7198612645760338,0.0,28134.39317736864
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6643567717234913,0.0,17445.306140411885
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.05407386197888514,0.0,990.6435502727859
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0004528243906011525,0.0,5.751775409415839
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.2825879444317826e-07,0.0,0.0004072858017543153
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7481084264468255,0.0,125209.83005827131
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7287516657074324,0.0,75058.53346895646
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6640524259198595,0.0,45952.73487019889
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.06515020064720745,0.0,3145.4120959713982
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,2.3225089052476844e-08,0.0,0.0007774299421169628
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,5.757228430041635e-08,0.0,0.0004817895159635654
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7434027036178732,0.0,13030.927575068812
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.5962330085449286,0.0,6431.523268222784
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5625892674191757,0.0,4077.347756040026
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.05436980001116785,0.0,274.91399297416103
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.001040770363792098,0.0,3.648682784404875
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.00022908610977835284,0.0,0.2007797718819202
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499998117209896,0.0,6615.988339130623
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.7260913143814344,0.0,3941.5900513103065
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6254403528606172,0.0,2281.153925195632
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.05828619064079621,0.0,148.31571323753897
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,0.0008152249479733063,0.0,1.4382720276111762
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,9.599039608208235e-07,0.0,0.0004233810003833974
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.7232562671825538,0.0,1444.5452773183683
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5735430995281618,0.0,704.9391765080649
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.4972140228047082,0.0,410.5985750874767
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.05574941594408342,0.0,32.11938273369204
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,0.0008313662866265612,0.0,0.3320942513906995
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,0.0011413038780048127,0.0,0.11397517047307267
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
