BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,20000,1200.0,1200.0,0.0,2323.9768984308325,69.71930695292491
Switzerland,Austria,2025-2030,0.0,20000.0,1200.0,1200.0,0.0,4393.774448963587,131.8132334689075
Switzerland,Austria,2030-2035,5.1283755055919755e-06,20000.0,1200.0000051283755,2200.0,2.3646416931300664,6106.443984366968,183.19331953100954
Switzerland,Austria,2035-2040,3.265195520180497e-06,20000.0,1200.0000083826367,2200.0,1.107468547579466,7814.8708608213265,234.44612582463998
Switzerland,Austria,2040-2045,3.948473321936326e-06,20000.0,1200.000012320176,3200.0,0.9620427310712745,6327.835278562781,189.83505835688317
Switzerland,Austria,2045-2050,8.952262018385425e-07,20000.0,1200.0000132044677,3200.0,0.1511172222896851,3677.3800554072654,110.32140166221845
Switzerland,Austria,2050-2055,1.0010697446263803e-05,20000.0,1200.0000232042305,3200.0,1.1027751888364163,3999.799177882802,119.9939753364841
Switzerland,Austria,2055-2060,2.3190689770512913e-07,20000.0,1200.0000234252032,3200.0,0.0148909246078341,4650.330526055585,139.50991578166756
CzechR,Austria,2020-2025,0.0,20000,900.0,900.0,0.0,3960.1524022934877,118.80457206880466
CzechR,Austria,2025-2030,0.0,20000.0,900.0,900.0,0.0,7013.33180692896,210.399954207869
CzechR,Austria,2030-2035,999.9998446049115,20000.0,1899.9998446049115,1900.0,168954050.51388106,12681.033981489425,380.4310194446829
CzechR,Austria,2035-2040,0.00013582583091304,20000.0,1899.999980419808,1900.0,16.880594188136154,16404.278714926917,492.128361447808
CzechR,Austria,2040-2045,2.4209426351174553e-06,20000.0,1899.9999828298162,1900.0,0.21613883354084848,16317.166707292547,489.5150012187782
CzechR,Austria,2045-2050,8.194002953610494e-06,20000.0,1899.9999910128847,1900.0,0.5068278176787355,16583.772200241572,497.5131660072475
CzechR,Austria,2050-2055,9.888500491584199e-08,20000.0,1899.9999911008356,1900.0,0.003991500977841057,14901.667468361818,447.05002405085463
CzechR,Austria,2055-2060,1.457289609167008e-07,20000.0,1899.9999912356304,1900.0,0.003428759444360217,14388.959794216285,431.66879382648955
Germany,Austria,2020-2025,0.0,20000.0,5000.0,5000.0,0.0,11736.886135737186,352.10658407211605
Germany,Austria,2025-2030,1999.9999916923298,20000.0,6999.99999169233,7000.0,0.0,39294.75148680568,1178.84254460417
Germany,Austria,2030-2035,500.00000078852435,20000.0,7499.999992986034,9500.0,0.0,39665.417617131905,1189.9625285139593
Germany,Austria,2035-2040,2.810836601983128e-07,20000.0,7499.999992738621,7500.0,0.0,44556.065848006336,1336.6819754401934
Germany,Austria,2040-2045,699.9999677844876,20000.0,8199.999959327615,10200.0,0.0,36018.1063531248,1080.5431905937453
Germany,Austria,2045-2050,4.489182672591629e-07,20000.0,8199.999960952544,8200.0,0.0,27149.430009292733,814.4829002787826
Germany,Austria,2050-2055,2.5077413081161143e-06,20000.0,8199.999963942482,8200.0,0.0,31824.333923534417,954.7300177060357
Germany,Austria,2055-2060,3.6496914997314554e-05,20000.0,8200.0,8200.0,0.0,31781.92347962422,953.4577043887263
Hungary,Austria,2020-2025,0.0,20000,800.0,800.0,0.0,3396.4568649853986,101.89370594956182
Hungary,Austria,2025-2030,0.0,20000.0,800.0,800.0,0.0,5742.7676065895275,172.28302819768652
Hungary,Austria,2030-2035,1999.9999278413097,20000.0,2799.9999278413097,2800.0,286750733.4924173,19633.423067795167,589.0026920338559
Hungary,Austria,2035-2040,5.937568808883934e-05,20000.0,2799.9999872060635,2800.0,6.262098528007356,23067.70740722271,692.0312222166841
Hungary,Austria,2040-2045,5.737943671420637e-07,20000.0,2799.9999877689233,2800.0,0.043472084673270524,20899.74152848924,626.992245854676
Hungary,Austria,2045-2050,6.235307297149533e-06,20000.0,2799.999993993297,2800.0,0.3272864844395231,23377.423268460287,701.322698053809
Hungary,Austria,2050-2055,8.315925995060424e-08,20000.0,2799.999994065516,2800.0,0.002848539842488811,22619.6801501614,678.590404504842
Hungary,Austria,2055-2060,2.6662107206027064e-07,20000.0,2799.9999943212088,2800.0,0.005323429425840352,22794.583749716443,683.8375124914937
Italy,Austria,2020-2025,0.0,20000,405.0,405.0,0.0,2256.3887378503136,67.69166213550943
Italy,Austria,2025-2030,2.968996568597504e-07,20000.0,405.00000029689966,795.0,0.22380748027027933,2319.2223233936024,69.57666970180794
Italy,Austria,2030-2035,889.9999855607667,20000.0,1294.9999857287469,1295.0,458296339.84690934,9211.337744823915,276.34013234471826
Italy,Austria,2035-2040,1.0811305290982287e-06,20000.0,1294.999986921308,1295.0,0.4095163105235662,10150.776230507807,304.5232869152342
Italy,Austria,2040-2045,724.583993684662,20000.0,2019.5839811262242,2295.0,197162698.8123011,14531.041185465452,435.9312355639655
Italy,Austria,2045-2050,1.83891494438561e-07,20000.0,2019.5839798372856,2295.0,0.03466679427458753,11221.320836959878,336.63962510879696
Italy,Austria,2050-2055,2.412323440477732e-07,20000.0,2019.5839808264861,2295.0,0.02967761872785844,13439.989887302596,403.1996966190781
Italy,Austria,2055-2060,4.428376306675364e-07,20000.0,2019.5839814326114,2295.0,0.03175582359268168,13261.078063540557,397.83234190621675
Slovenia,Austria,2020-2025,0.0,20000,950.0,950.0,0.0,3250.422405090794,97.51267215272408
Slovenia,Austria,2025-2030,0.0,20000.0,950.0,950.0,0.0,7380.772544986065,221.42317634958192
Slovenia,Austria,2030-2035,1.7503326148471388e-05,20000.0,950.0000175033261,1950.0,3.275369761444246,6438.110142857803,193.14330428573436
Slovenia,Austria,2035-2040,999.9999707907535,20000.0,1949.9999882815614,1950.0,137650064.97975928,16789.50180689443,503.6850542068343
Slovenia,Austria,2040-2045,999.9999972947559,20000.0,2949.999985932429,2950.0,98882486.29561423,21019.613705085598,630.58841115257
Slovenia,Austria,2045-2050,7.863254193980356e-06,20000.0,2949.9999936877675,2950.0,0.5386885158174419,24650.938319601944,739.5281495880596
Slovenia,Austria,2050-2055,9.104156869857982e-08,20000.0,2949.999993466273,2950.0,0.0040702080344275195,23616.99901510269,708.5099704530834
Slovenia,Austria,2055-2060,1.4339226829505952e-07,20000.0,2949.999993632793,2950.0,0.0037366976407993465,24222.11450800538,726.6634352401597
Slovakia,Austria,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999815372956,20000.0,999.9999815372956,1000.0,37021808.96694863,7168.612897252662,215.05838691758046
Slovakia,Austria,2035-2040,8.051347278545613e-06,20000.0,999.9999895777088,1000.0,0.2192617552665305,8678.5935009857,260.3578050295706
Slovakia,Austria,2040-2045,9.55654889416583e-07,20000.0,999.9999905224294,1000.0,0.018695554844942803,8440.343400129921,253.21030200389674
Slovakia,Austria,2045-2050,2.9578257010711836e-06,20000.0,999.9999934693204,1000.0,0.04008906004629981,8701.884239202438,261.05652717607325
Slovakia,Austria,2050-2055,9.491928379087354e-08,20000.0,999.999993553305,1000.0,0.0008395551328705999,8243.59235010475,247.3077705031425
Slovakia,Austria,2055-2060,1.507946064165056e-07,20000.0,999.9999936931658,1000.0,0.0007774382867517854,7822.930585561972,234.68791756685954
Croatia,BosniaH,2020-2025,0.0,20000,750.0,750.0,0.0,3960.040723785777,118.80122171357344
Croatia,BosniaH,2025-2030,0.0,20000.0,750.0,750.0,0.0,3648.8796216036344,109.46638864810885
Croatia,BosniaH,2030-2035,0.0,20000.0,750.0,750.0,0.0,2929.6804783608072,87.89041435082443
Croatia,BosniaH,2035-2040,0.0,20000.0,750.0,750.0,0.0,3762.5760351020945,112.87728105306284
Croatia,BosniaH,2040-2045,6.476733460658579e-07,20000.0,750.0000006476733,1894.0,0.06726876573516692,4736.895186691279,142.10685560073858
Croatia,BosniaH,2045-2050,1.9723785124915852e-06,20000.0,750.0000026091175,1894.0,0.14192657417274096,4709.881815651002,141.29645446953
Croatia,BosniaH,2050-2055,2.624171297472277e-06,20000.0,750.0000052223546,1894.0,0.12322735067792866,4915.286325764313,147.45858977292937
Croatia,BosniaH,2055-2060,1.0219287225037228e-06,20000.0,750.0000062333488,1894.0,0.0279718302631041,4914.245615533872,147.42736846601605
Italy,BosniaH,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,20000,600.0,600.0,0.0,1216.5209672839899,36.495629018519615
Serbia,BosniaH,2025-2030,0.0,20000.0,600.0,600.0,0.0,1653.3801191920704,49.60140357576211
Serbia,BosniaH,2030-2035,0.0,20000.0,600.0,600.0,0.0,3602.1323968362494,108.06397190508753
Serbia,BosniaH,2035-2040,0.0,20000.0,600.0,600.0,0.0,4333.285659169202,129.99856977507622
Serbia,BosniaH,2040-2045,1349.9999569601819,20000.0,1949.9999569601819,1950.0,92675651.2684679,10843.991712857505,325.31975138572506
Serbia,BosniaH,2045-2050,1.4621863458536786e-06,20000.0,1949.9999584114335,1950.0,0.06954255440185368,13647.717753336272,409.43153260008853
Serbia,BosniaH,2050-2055,5.466449849635595e-06,20000.0,1949.9999638669494,1950.0,0.1696659746306821,13511.632257234998,405.34896771705115
Serbia,BosniaH,2055-2060,8.558316409319752e-07,20000.0,1949.9999647118466,1950.0,0.01548328382122366,14035.705917529292,421.07117752587874
Germany,Belgium,2020-2025,0.0,20000.0,1000.0,1000.0,0.0,4747.949599830021,142.43848799490084
Germany,Belgium,2025-2030,999.9999945704708,20000.0,1999.9999945704708,2000.0,0.0,17423.455327816253,522.7036598344864
Germany,Belgium,2030-2035,4.96293292428087e-07,20000.0,1999.9999950558015,2000.0,0.0,16872.899995096443,506.18699985289294
Germany,Belgium,2035-2040,3.0887763837723995e-08,20000.0,1999.9999950757958,2000.0,0.0,16481.269195127046,494.4380758538115
Germany,Belgium,2040-2045,2.59606058921003e-08,20000.0,1999.9999950908195,2000.0,0.0,16149.796519437617,484.49389558312896
Germany,Belgium,2045-2050,2.9457940768861185e-08,20000.0,1999.999995109333,2000.0,0.0,7141.807841183026,214.25423523549057
Germany,Belgium,2050-2055,5.493243500818838e-08,20000.0,1999.9999951533298,2000.0,0.0,7940.535611457714,238.21606834373108
Germany,Belgium,2055-2060,4.791997172297471e-06,20000.0,2000.0,2000.0,0.0,7107.357850207219,213.2207355062166
France,Belgium,2020-2025,0.0,20000.0,3300.0,3300.0,0.0,18969.731848978707,569.0919554693609
France,Belgium,2025-2030,49.999993543033575,20000.0,3349.9999935430337,3350.0,0.0,13734.69110206468,412.0407330619408
France,Belgium,2030-2035,2999.9999511868314,20000.0,6349.999944961091,6350.0,0.0,16422.640669843426,492.6792200953025
France,Belgium,2035-2040,1.5233039887771994e-05,20000.0,6349.999959870387,6350.0,0.0,13398.87704405663,401.96631132170023
France,Belgium,2040-2045,1000.0000107175455,20000.0,7349.99997036962,7350.0,0.0,26700.841964835414,801.0252589450647
France,Belgium,2045-2050,6.323183020390498e-07,20000.0,7349.999971189185,7350.0,0.0,20185.672199769848,605.5701659930963
France,Belgium,2050-2055,3.5140523734670416e-06,20000.0,7349.999974572561,7350.0,0.0,26357.19348954518,790.7158046863555
France,Belgium,2055-2060,2.5173178850501813e-05,20000.0,7350.0,7350.0,0.0,29682.64654975104,890.47939649253
