BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,20000,1200.0,1200.0,0.0,5128.3387996218235,153.850163988655
Switzerland,Austria,2025-2030,0.0,20000.0,1200.0,1200.0,0.0,5037.958182687836,151.1387454806349
Switzerland,Austria,2030-2035,1.1150080354127567e-05,20000.0,1200.0000111500804,2200.0,5.141188444249276,6566.076413094637,196.98229239283938
Switzerland,Austria,2035-2040,5.483378548347447e-07,20000.0,1200.0000116890787,2200.0,0.18598179616610083,5508.965758697765,165.26897276093243
Switzerland,Austria,2040-2045,2.2867228728839026e-06,20000.0,1200.000013966462,3200.0,0.5571584099632565,5285.513481988142,158.5654044596443
Switzerland,Austria,2045-2050,1.6611049902037217e-08,20000.0,1200.0000139737338,3200.0,0.0028040016203233708,3885.840323803657,116.57520971411002
Switzerland,Austria,2050-2055,3.441170079151421e-05,20000.0,1200.0000483760948,3200.0,3.790781815377654,4280.206381180887,128.406191435427
Switzerland,Austria,2055-2060,2.3088753911964009e-07,20000.0,1200.0000485976432,3200.0,0.014825470789965491,3959.9648427901393,118.79894528370413
CzechR,Austria,2020-2025,0.0,20000,900.0,900.0,0.0,4167.633439033873,125.02900317101646
CzechR,Austria,2025-2030,0.0,20000.0,900.0,900.0,0.0,5828.750901832417,174.8625270549722
CzechR,Austria,2030-2035,999.9986555036517,20000.0,1899.9986555036517,1900.0,168953849.61037552,13115.48830821755,393.4646492465267
CzechR,Austria,2035-2040,0.0012897105572150117,20000.0,1899.9999452048692,1900.0,160.28674656472452,14624.959454583453,438.74878363750395
CzechR,Austria,2040-2045,9.4552606033148e-07,20000.0,1899.9999461410557,1900.0,0.08441542430541935,6770.173242290073,203.1051972687023
CzechR,Austria,2045-2050,7.779180846029739e-07,20000.0,1899.9999469096342,1900.0,0.04811696156131128,16119.89166276344,483.5967498829027
CzechR,Austria,2050-2055,2.423729633532119e-07,20000.0,1899.999947142668,1900.0,0.009783403672274999,12782.635558905173,383.4790667671555
CzechR,Austria,2055-2060,1.3472348994787638e-07,20000.0,1899.999947268052,1900.0,0.003169819064310719,13061.018862871037,391.83056588613135
Germany,Austria,2020-2025,0.0,20000.0,5000.0,5000.0,0.0,17323.042625397426,519.6912787619227
Germany,Austria,2025-2030,1999.9999041765886,20000.0,6999.999904176589,7000.0,0.0,37505.39203812517,1125.161761143756
Germany,Austria,2030-2035,500.00000163754765,20000.0,7499.999905849478,9500.0,0.0,38045.31003243667,1141.3593009731057
Germany,Austria,2035-2040,2.380838039119494e-07,20000.0,7499.9999060345335,7500.0,0.0,37145.04874141114,1114.3514622423322
Germany,Austria,2040-2045,699.9998120226322,20000.0,8199.999717999455,10200.0,0.0,35230.1888017276,1056.9056640518295
Germany,Austria,2045-2050,5.562639027369611e-07,20000.0,8199.999718595791,8200.0,0.0,26310.255944019667,789.3076783205919
Germany,Austria,2050-2055,1.1663951457338975e-06,20000.0,8199.999719804291,8200.0,0.0,35177.92795126573,1055.3378385379724
Germany,Austria,2055-2060,0.000280202488598218,20000.0,8200.0,8200.0,0.0,34543.32342638037,1036.2997027914114
Hungary,Austria,2020-2025,0.0,20000,800.0,800.0,0.0,4361.507798944399,130.8452339683321
Hungary,Austria,2025-2030,0.0,20000.0,800.0,800.0,0.0,5321.29456362154,159.63883690864688
Hungary,Austria,2030-2035,1999.999584066607,20000.0,2799.999584066607,2800.0,286750684.2035914,21029.592964898435,630.8877889469532
Hungary,Austria,2035-2040,0.00035781361715827653,20000.0,2799.9999418708844,2800.0,37.7370637280918,18828.27214622758,564.848164386829
Hungary,Austria,2040-2045,7.711219728830526e-07,20000.0,2799.9999426326676,2800.0,0.058422113597172726,12627.44575150282,378.8233725450843
Hungary,Austria,2045-2050,7.542376407987794e-07,20000.0,2799.9999433775656,2800.0,0.03958935367978423,23977.0541614913,719.3116248447403
Hungary,Austria,2050-2055,2.3465434561189034e-07,20000.0,2799.99994360288,2800.0,0.008037857156083943,18757.62339804404,562.7287019413234
Hungary,Austria,2055-2060,1.3487537907587752e-07,20000.0,2799.9999437284164,2800.0,0.002692958798213789,19427.36740335676,582.8210221007026
Italy,Austria,2020-2025,0.0,20000,405.0,405.0,0.0,2432.8418722732345,72.98525616819695
Italy,Austria,2025-2030,5.890915417694487e-07,20000.0,405.00000058909154,795.0,0.4440661703904711,2633.089715978317,78.99269147934965
Italy,Austria,2030-2035,889.9998877878301,20000.0,1294.9998884640622,1295.0,458296289.4997411,10207.73958106844,306.23218743205393
Italy,Austria,2035-2040,3.3392700645301674e-07,20000.0,1294.999888690081,1295.0,0.12648662856730214,8725.448003846668,261.76344011540107
Italy,Austria,2040-2045,93.21832661692635,20000.0,1388.2182154062227,2295.0,25365143.330171812,8943.453849291645,268.30361547875
Italy,Austria,2045-2050,7.177630457820794e-07,20000.0,1388.2182159602535,2295.0,0.13531101001706236,8510.301521511146,255.30904564533523
Italy,Austria,2050-2055,1.1361574630483442e-06,20000.0,1388.218217116663,2295.0,0.13977581711216194,8129.1203730350335,243.87361119105108
Italy,Austria,2055-2060,2.9068359195121536e-07,20000.0,1388.2182174153884,2295.0,0.020844879088922824,7721.318428641385,231.63955285924172
Slovenia,Austria,2020-2025,0.0,20000,950.0,950.0,0.0,5865.197257914709,175.95591773744206
Slovenia,Austria,2025-2030,0.0,20000.0,950.0,950.0,0.0,6577.176942515425,197.31530827546374
Slovenia,Austria,2030-2035,4.762150751957961e-06,20000.0,950.0000047621508,1950.0,0.891133744529138,7107.674502912717,213.23023508738177
Slovenia,Austria,2035-2040,999.9999453195086,20000.0,1949.9999500725912,1950.0,137650061.47364065,14383.85218915726,431.51556567471744
Slovenia,Austria,2040-2045,999.9999849239438,20000.0,2949.9999349136788,2950.0,98882485.07235757,17078.219506316123,512.3465851894842
Slovenia,Austria,2045-2050,2.817728168404477e-06,20000.0,2949.999937974934,2950.0,0.19303430457288343,25043.690914718478,751.3107274415545
Slovenia,Austria,2050-2055,2.776936051431927e-07,20000.0,2949.999937859153,2950.0,0.01241488650646018,18559.029416565045,556.7708824969503
Slovenia,Austria,2055-2060,1.4523414418306667e-07,20000.0,2949.9999382007136,2950.0,0.0037846955793715943,19785.605645602394,593.5681693680721
Slovakia,Austria,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9998880681294,20000.0,999.9998880681294,1000.0,37021805.50655095,7696.416732895129,230.8925019868542
Slovakia,Austria,2035-2040,6.904047519396673e-05,20000.0,999.999957099265,1000.0,1.8801742431111481,7781.125295091389,233.43375885274165
Slovakia,Austria,2040-2045,5.832533384042483e-07,20000.0,999.999957673179,1000.0,0.011410232812484778,3750.539313872412,112.51617941617249
