BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,20000,1200.0,1200.0,0.0,3196.910125948751,95.90730377846268
Switzerland,Austria,2025-2030,0.0,20000.0,1200.0,1200.0,0.0,5799.221666829896,173.97665000489664
Switzerland,Austria,2030-2035,6.335085345199332e-08,20000.0,1200.0000000633509,2200.0,0.02921043305128733,6501.566725941595,195.04700177824768
Switzerland,Austria,2035-2040,1.9225404849135675e-08,20000.0,1200.0000000820578,2200.0,0.006520752295936793,4790.522973693136,143.7156892107947
Switzerland,Austria,2040-2045,3.0180585576135228e-06,20000.0,1200.000003099598,3200.0,0.7353478320769486,5239.518805168458,157.18556415505392
Switzerland,Austria,2045-2050,1.3163785982840446e-07,20000.0,1200.0000032307175,3200.0,0.022220917668152814,4979.377594768193,149.38132784304594
Switzerland,Austria,2050-2055,1.6277951377259448e-08,20000.0,1200.0000032464773,3200.0,0.0017931738523000655,3753.2621422430325,112.59786426729116
Switzerland,Austria,2055-2060,2.7008739283337765e-08,20000.0,1200.0000032729677,3200.0,0.0017342524280248462,3820.4075749795666,114.61222724938696
CzechR,Austria,2020-2025,0.0,20000,900.0,900.0,0.0,4999.076572046049,149.97229716138193
CzechR,Austria,2025-2030,0.0,20000.0,900.0,900.0,0.0,6523.785957331106,195.71357871993348
CzechR,Austria,2030-2035,999.9999526301358,20000.0,1899.9999526301358,1900.0,168954068.7651831,9926.711555248705,297.80134665746095
CzechR,Austria,2035-2040,4.392684125185545e-05,20000.0,1899.9999965564587,1900.0,5.459279550544326,14616.942454041286,438.5082736212399
CzechR,Austria,2040-2045,6.738464120724843e-08,20000.0,1899.9999966233254,1900.0,0.006016019354542308,14186.360225418843,425.59080676256247
CzechR,Austria,2045-2050,5.245445495188064e-08,20000.0,1899.9999966752612,1900.0,0.003244491987774423,15103.651457573207,453.10954372719715
CzechR,Austria,2050-2055,8.535305808021136e-09,20000.0,1899.9999966832765,1900.0,0.0003445282882665944,14198.908505945614,425.9672551783694
CzechR,Austria,2055-2060,1.6396533408943247e-08,20000.0,1899.9999966991566,1900.0,0.0003857830895590987,14210.358905073992,426.3107671522192
Germany,Austria,2020-2025,0.0,20000.0,5000.0,5000.0,0.0,18591.555741199034,557.7466722359701
Germany,Austria,2025-2030,1999.9999966807059,20000.0,6999.999996680706,7000.0,0.0,39043.86436379677,1171.3159309139025
Germany,Austria,2030-2035,499.999997563926,20000.0,7499.99999424624,9500.0,0.0,43323.60504501452,1299.7081513504359
Germany,Austria,2035-2040,1.073457026269967e-06,20000.0,7499.999995306061,7500.0,0.0,39971.663207372956,1199.1498962211867
Germany,Austria,2040-2045,699.9999810392054,20000.0,8199.999976362446,10200.0,0.0,27140.533802389138,814.2160140716734
Germany,Austria,2045-2050,2.464727486710514e-06,20000.0,8199.999978827209,8200.0,0.0,25339.641704969323,760.189251149081
Germany,Austria,2050-2055,3.2704239074193896e-07,20000.0,8199.999979142927,8200.0,0.0,32017.40194477478,960.5220583432438
