BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,20000,1200.0,1200.0,0.0,3058.2203729433054,91.74661118829901
Switzerland,Austria,2025-2030,0.0,20000.0,1200.0,1200.0,0.0,4120.150960107059,123.60452880321205
Switzerland,Austria,2030-2035,4.830478474104893e-06,20000.0,1200.0000048304785,2200.0,2.2272844071540425,3994.457941549221,119.83373824647681
Switzerland,Austria,2035-2040,999.999893991262,20000.0,2199.9998988387556,2200.0,339173695.2147058,11786.884693334234,353.60654080002723
Switzerland,Austria,2040-2045,1000.0000289255757,20000.0,3199.9999278867435,3200.0,243649299.47839433,16718.210581913798,501.5463174574158
Switzerland,Austria,2045-2050,3.1311515713639385e-07,20000.0,3199.9999282603817,3200.0,0.052854901594785904,15265.899547899071,457.9769864369727
Switzerland,Austria,2050-2055,4.898998125924717e-07,20000.0,3199.999928681439,3200.0,0.0539672047070227,18491.885707634086,554.7565712290226
Switzerland,Austria,2055-2060,3.063693433521318e-06,20000.0,3199.999931663473,3200.0,0.19672216907532425,16960.409942920993,508.81229828762963
CzechR,Austria,2020-2025,0.0,20000,900.0,900.0,0.0,4742.787047253066,142.2836114175921
CzechR,Austria,2025-2030,0.0,20000.0,900.0,900.0,0.0,4446.8632241301675,133.4058967239047
CzechR,Austria,2030-2035,999.9998190938063,20000.0,1899.9998190938063,1900.0,168954046.20367584,6836.879816627514,205.1063944988249
CzechR,Austria,2035-2040,0.00015161961776281917,20000.0,1899.999970710679,1900.0,18.843464613539513,10239.835688772482,307.1950706631746
CzechR,Austria,2040-2045,2.510205237014616e-06,20000.0,1899.999973218139,1900.0,0.22410809079338034,12940.743464330119,388.2223039299051
CzechR,Austria,2045-2050,9.298739632704612e-08,20000.0,1899.9999733083814,1900.0,0.0057515965540747525,10270.041431015723,308.10124293047136
CzechR,Austria,2050-2055,1.1752272819320163e-07,20000.0,1899.9999734231587,1900.0,0.004743814139473856,12780.54361784661,383.4163085353986
CzechR,Austria,2055-2060,1.6542094257340333e-07,20000.0,1899.9999735858348,1900.0,0.003892078935962034,11747.690705253144,352.4307211575948
Germany,Austria,2020-2025,0.0,20000.0,5000.0,5000.0,0.0,21980.30565584605,659.4091696753807
Germany,Austria,2025-2030,1999.9999506575175,20000.0,6999.999950657518,7000.0,0.0,28526.247298451486,855.7874189535464
Germany,Austria,2030-2035,500.0000306981211,20000.0,7499.999981371165,9500.0,0.0,22275.30225196158,668.2590675588491
Germany,Austria,2035-2040,1.4445365070839175e-06,20000.0,7499.999982801024,7500.0,0.0,37930.6904819511,1137.9207144585332
