BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2178.4135996563364,65.35240798968995
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,5725.048455625821,171.75145366877513
Switzerland,Austria,2030-2035,999.9994443327514,2199.9994443327514,239415938.25595695,13318.879448939899,399.5663834681979
Switzerland,Austria,2035-2040,1.5770672266512972e-06,2199.999445845321,0.27123545105523666,8692.127324467645,260.76381973403045
Switzerland,Austria,2040-2045,999.9928533411749,3199.99229909086,119154147.69635074,13933.695929012432,418.01087787037335
Switzerland,Austria,2045-2050,0.0013683362617219299,3199.993663941194,106.40121266159784,14631.125132764864,438.93375398294637
Switzerland,Austria,2050-2055,7.81020096648057e-06,3199.9936767283575,0.35399839950782447,14868.014444685481,446.04043334056405
Switzerland,Austria,2055-2060,1.3682185284333065e-05,3199.993688708115,0.2724385600478615,14448.290903164998,433.4487270949492
CzechR,Austria,2020-2025,0.0,900.0,0.0,5508.074546628077,165.24223639884187
CzechR,Austria,2025-2030,0.0,900.0,0.0,6055.34014891147,181.66020446734456
CzechR,Austria,2030-2035,999.9997971226762,1899.9997971226762,87917373.1724202,13038.280491622396,391.1484147486726
CzechR,Austria,2035-2040,7.667285116130017e-05,1899.999873731029,4.84238538860378,15749.112343250057,472.47337029750156
CzechR,Austria,2040-2045,3.0015522315952335e-07,1899.999873966687,0.013133475406978436,15154.76540848722,454.6429622546173
CzechR,Austria,2045-2050,5.8068346629525e-07,1899.9998744828727,0.016581151746262193,15180.529059579056,455.4158717873719
CzechR,Austria,2050-2055,1.6699259997112832e-07,1899.9998745853677,0.002779443228245154,13690.072656217035,410.7021796865121
CzechR,Austria,2055-2060,2.6151720623298907e-07,1899.9998747823872,0.001912206845810334,13720.05880901432,411.60176427043046
Germany,Austria,2020-2025,0.0,5000.0,0.0,16068.102674820642,482.0430802446182
Germany,Austria,2025-2030,1999.9998736910566,6999.999873691057,891259.8983438839,41091.64293927075,1232.7492881781216
Germany,Austria,2030-2035,499.9999910878428,7499.999865192511,149745.32783135862,42420.53243216813,1272.6159729650428
Germany,Austria,2035-2040,8.906060305381898e-07,7499.999865547254,0.00019160721628622002,40355.316014330114,1210.6594804299075
Germany,Austria,2040-2045,699.9997865294845,8199.999651166041,104337.43603588756,29666.327335665064,889.9898200699523
Germany,Austria,2045-2050,7.579595585471647e-07,8199.99965363937,7.372754282455007e-05,32244.603951452675,967.3381185435793
Germany,Austria,2050-2055,4.979128647817097e-07,8199.999652703302,2.82307503445424e-05,34809.92900064953,1044.2978700194872
Germany,Austria,2055-2060,1.1282048583477582e-06,8199.999654207155,2.8101600719061755e-05,36524.06757727587,1095.7220273182777
Hungary,Austria,2020-2025,0.0,800.0,0.0,2391.4830448609832,71.74449134582966
Hungary,Austria,2025-2030,0.0,800.0,0.0,5814.474980494148,174.43424941482436
Hungary,Austria,2030-2035,1999.9997755424165,2799.9997755424165,149305042.44691125,21181.75452833613,635.4526358500826
Hungary,Austria,2035-2040,8.252996994448032e-05,2799.9998580078886,4.425875171722682,23292.070688819837,698.7621206645985
Hungary,Austria,2040-2045,2.3394135392325003e-07,2799.999858177332,0.008691815434285027,21562.842909831863,646.8852872949567
Hungary,Austria,2045-2050,3.3237048858711043e-07,2799.9998584452055,0.00805874521655695,23143.398652856187,694.3019595856873
Hungary,Austria,2050-2055,1.521155655050306e-07,2799.999858532823,0.0021498292835921036,19993.98864951538,599.8196594854627
