BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,6499.546919967773,194.98640759903302
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4044.486852352644,121.3346055705794
Switzerland,Austria,2030-2035,9.40019767767808e-05,1200.0000940019768,22.505583973543576,4039.510376409369,121.18531129228121
Switzerland,Austria,2035-2040,999.999871596996,2199.9999655871497,171987225.17601487,15355.464839378941,460.6639451813674
Switzerland,Austria,2040-2045,999.9999623090631,3199.9999274433226,119154994.76541416,21110.72199388971,633.3216598166916
Switzerland,Austria,2045-2050,3.3817182776662557e-07,3199.9999286358834,0.02629608932315946,20610.516873793717,618.315506213812
Switzerland,Austria,2050-2055,3.614690739958934e-07,3199.9999289054545,0.016383633944285395,18369.377383835857,551.0813215150775
Switzerland,Austria,2055-2060,9.415173404039459e-07,3199.9999294890663,0.01874741666986909,16945.296646198505,508.35889938595597
CzechR,Austria,2020-2025,0.0,900.0,0.0,3198.9368067088385,95.96810420126533
CzechR,Austria,2025-2030,0.0,900.0,0.0,3441.191037416432,103.23573112249319
CzechR,Austria,2030-2035,999.999971379187,1899.999971379187,87917388.49259798,7658.887633933129,229.76662901799378
CzechR,Austria,2035-2040,1.5715547165998682e-05,1899.9999870828024,0.9925382298676878,9866.822566426406,296.0046769927932
CzechR,Austria,2040-2045,2.5371876305739435e-07,1899.999987324583,0.011101619688064899,12446.03147099391,373.3809441298178
CzechR,Austria,2045-2050,1.007223877956187e-07,1899.9999874133791,0.002876081881476987,12057.755944984974,361.73267834954993
CzechR,Austria,2050-2055,9.710837289901439e-08,1899.9999874985463,0.001616282455071276,11916.54949088116,357.49648472643577
CzechR,Austria,2055-2060,3.21604843381537e-07,1899.999987808228,0.002351566048055921,12006.44334958427,360.19330048752886
Germany,Austria,2020-2025,0.0,5000.0,0.0,12878.310728725488,386.34932186176474
Germany,Austria,2025-2030,1999.9999268630463,6999.999926863046,891259.9220389165,19278.88599516717,578.3665798550155
Germany,Austria,2030-2035,500.0000572972376,7499.999974080447,149745.34766045405,25128.171725578683,753.8451517673606
Germany,Austria,2035-2040,9.16336298906754e-06,7499.999993312319,0.0019714289079026392,35656.5608953522,1069.6968268605676
Germany,Austria,2040-2045,699.9999826650736,8199.999964270159,104337.46527058858,49883.64228365245,1496.509268509573
Germany,Austria,2045-2050,4.7506626510456435e-06,8199.999980465065,0.00046210207404906467,48182.18277218093,1445.4654831654284
Germany,Austria,2050-2055,1.0364934654333826e-07,8199.999980803403,5.876728706181902e-06,48450.992831717725,1453.5297849515325
